bookID,title,authors,average_rating,isbn,isbn13,language_code,  num_pages,ratings_count,text_reviews_count,publication_date,publisher
23600,Sauron Defeated: The History of The Lord of the Rings  Part Four (The History of Middle-Earth  #9),J.R.R. Tolkien/Christopher Tolkien,4.01,395606497,9780400000000.0,eng,496,2572,41,10/27/1992,Houghton Mifflin Harcourt
23601,The J.R.R. Tolkien Companion and Guide  Volume 2: Reader's Guide,Wayne G. Hammond/Wayne G. Hammond,4.46,618391010,9780620000000.0,eng,1262,31,2,11/02/2006,Houghton Mifflin Harcourt
23603,Tales from the Perilous Realm,J.R.R. Tolkien,4.08,7149123,9780010000000.0,eng,178,3242,162,09/02/2002,HarperCollins Publishers
23608,Tolkien: Man and Myth: A Literary Life,Joseph Pearce,4.05,898708257,9780900000000.0,eng,256,467,31,12/01/2001,Ignatius Press
23617,Roverandom,J.R.R. Tolkien/Christina Scull/Wayne G. Hammond,3.87,7149115,9780010000000.0,eng,116,8775,413,09/02/2002,HarperCollins Publishers
23625,The History of Middle-Earth Index (The History of Middle-Earth  #13),J.R.R. Tolkien/Christopher Tolkien,4.25,7137435,9780010000000.0,eng,484,51,3,08/05/2002,HarperCollins
23627,The Lost Road and Other Writings (The History of Middle-earth  #5),J.R.R. Tolkien/Christopher Tolkien,3.97,261102257,9780260000000.0,eng,455,97,10,06/05/2002,HarperCollins
23637,Tolkien's Modern Middle Ages,Jane Chance/Alfred Siewers,3.62,1403969736,9781400000000.0,eng,264,16,2,11/19/2005,Palgrave Macmillan
23640,Understanding The Lord of the Rings: The Best of Tolkien Criticism,Rose A. Zimbardo/Neil D. Isaacs,4.02,618422536,9780620000000.0,eng,304,2067,17,05/12/2005,Mariner Books
23643,Faërie,J.R.R. Tolkien/Francis Ledoux,3.54,2266102710,9782270000000.0,fre,217,89,2,11/20/2003,Pocket
23653,The Hobbit  or  There and Back Again,J.R.R. Tolkien/Alan  Lee,4.27,026110330X,9780260000000.0,eng,289,559,55,9/15/1997,Houghton Mifflin Company
23685,Ranma 1/2  Vol. 36 (Ranma ½ (US 2nd)  #36),Rumiko Takahashi,4.14,142150507X,9781420000000.0,eng,182,863,33,11/01/2006,Viz Media
23686,Ranma ½  Vol. 1 (Ranma ½ (US 2nd)  #1),Rumiko Takahashi,4.15,1569319626,9781570000000.0,eng,304,29058,309,05/07/2003,VIZ Media LLC
23689,Ranma 1/2  Vol. 35 (Ranma ½ (US 2nd)  #35),Rumiko Takahashi,4.1,1421505061,9781420000000.0,eng,208,752,13,08/08/2006,VIZ Media LLC
23692,Ranma 1/2  Vol. 34 (Ranma ½ (US 2nd)  #34),Rumiko Takahashi,4.08,1421505053,9781420000000.0,eng,182,782,13,05/01/2006,Viz Media
23693,Ranma 1/2  Vol. 7 (Ranma ½ (US 2nd)  #7),Rumiko Takahashi,4.13,1591161290,9781590000000.0,eng,184,1392,39,02/04/2004,Viz Media
23697,Mermaid Saga  Vol. 2,Rumiko Takahashi,4.05,1591164842,9781590000000.0,eng,208,92,3,9/21/2004,VIZ Media LLC
23700,The Mermaids Singing,Lisa Carey,3.77,380815591,9780380000000.0,en-US,288,1859,231,11/06/2001,William Morrow Paperbacks
23703,Maison Ikkoku  Volume 15 (Maison Ikkoku  #15),Rumiko Takahashi,4.36,1421502798,9781420000000.0,en-US,208,257,11,2/14/2006,VIZ Media LLC
23704,Maison Ikkoku  Volume 14 (Maison Ikkoku  #14),Rumiko Takahashi,4.3,1421501422,9781420000000.0,eng,240,245,6,12/13/2005,VIZ Media LLC
23706,Maison Ikkoku  Volume 12 (Maison Ikkoku  #12),Rumiko Takahashi,4.27,1591168694,9781590000000.0,eng,323,250,3,08/09/2005,VIZ Media LLC
23707,Maison Ikkoku  Volume 5 (Maison Ikkoku  #5),Rumiko Takahashi,4.22,1591163196,9781590000000.0,en-US,208,300,5,06/02/2004,Viz Media
23708,Maison Ikkoku  Volume 6 (Maison Ikkoku  #6),Rumiko Takahashi,4.19,1591164222,9781590000000.0,en-US,208,291,4,8/17/2004,Viz Media
23709,Maison Ikkoku  Volume 11 (Maison Ikkoku  #11),Rumiko Takahashi,4.28,159116804X,9781590000000.0,eng,232,252,4,06/07/2005,VIZ Media LLC
23710,Maison Ikkoku  Volume 9 (Maison Ikkoku  #9),Rumiko Takahashi,4.19,1591166179,9781590000000.0,en-US,232,272,4,02/09/2005,VIZ Media LLC
23717,Rumic World Trilogy  Volume 3 (Rumic World Trilogy  #3),Rumiko Takahashi,3.88,1569312060,9781570000000.0,eng,192,69,1,11/05/1997,Viz Media
23720,Nausicaä of the Valley of the Wind  Vol. 4 (Nausicaä of the Valley of the Wind  #4),Hayao Miyazaki/David Lewis/Toren Smith/Kaori Inoue/Joe Yamazaki/Walden Wong/Izumi Evers,4.59,1591163528,9781590000000.0,eng,134,1956,38,06/02/2004,VIZ Media
23721,Nausicaä of the Valley of the Wind  Vol. 6 (Nausicaä of the Valley of the Wind  #6),Hayao Miyazaki/Matt Thorn/Kaori Inoue/Joe Yamazaki/Walden Wong/Izumi Evers,4.62,1591163544,9781590000000.0,eng,159,1776,33,08/10/2004,VIZ Media
23722,Nausicaä of the Valley of the Wind  Vol. 5 (Nausicaä of the Valley of the Wind  #5),Hayao Miyazaki/Matt Thorn/Kaori Inoue/Joe Yamazaki/Walden Wong/Izumi Evers,4.61,1591164125,9781590000000.0,eng,151,1904,28,6/30/2004,VIZ Media
23724,Nausicaä of the Valley of the Wind  Vol. 7 (Nausicaä of the Valley of the Wind  #7),Hayao Miyazaki/Matt Thorn/Kaori Inoue/Joe Yamazaki/Walden Wong/Izumi Evers,4.61,1591163552,9781590000000.0,eng,223,1716,79,09/07/2004,VIZ Media
23734,Nausicaä De La Vallée Du Vent  Tome 4,Hayao Miyazaki,4.59,2723433927,9782720000000.0,fre,144,29,2,06/12/2001,Glénat
23740,Nausicaä de la vallée du vent  tome 3,Hayao Miyazaki,4.56,2723433919,9782720000000.0,fre,144,32,3,2/20/2001,Glénat
23751,Homer's Daughter,Robert Graves,3.81,897330595,9780900000000.0,en-US,283,416,34,8/30/2005,Academy Chicago Publishers
23753,The Absolute Sandman  Volume One,Neil Gaiman/Mike Dringenberg/Chris Bachalo/Michael Zulli/Kelly Jones/Charles Vess/Colleen Doran/Malcolm Jones III/Steve Parkhouse/Daniel Vozzo/Lee Loughridge/Steve Oliff/Todd Klein/Dave McKean/Sam Kieth,4.65,1401210821,9781400000000.0,eng,612,15640,512,11/01/2006,Vertigo
23754,Preludes & Nocturnes (The Sandman  #1),Neil Gaiman/Sam Kieth/Mike Dringenberg/Malcolm Jones III/Todd Klein/Karen  Berger,4.24,1563892278,9781560000000.0,eng,233,171841,3781,12/01/1998,Vertigo
23756,Berlin Diary: The Journal of a Foreign Correspondent 1934-1941,William L. Shirer/Gordon A. Craig,4.29,801870569,9780800000000.0,eng,627,3574,198,4/17/2002,Johns Hopkins University Press
