bookID,title,authors,average_rating,isbn,isbn13,language_code,  num_pages,ratings_count,text_reviews_count,publication_date,publisher
20343,The Various,Steve Augarde,3.71,440420296,9.78044E+12,eng,448,825,98,11/08/2005,Yearling
20351,Truman Capote: In Which Various Friends  Enemies  Acquaintances  and Detractors Recall His Turbulent Career,George Plimpton,4.08,385491735,9.78039E+12,eng,498,908,56,11/10/1998,Anchor
20355,The Burnt Orange Heresy,Charles Willeford,3.9,786706686,9.78079E+12,eng,144,564,49,12/20/1999,Carroll & Graf
20367,Ewan McGregor: From Junkie to Jedi,Brian J. Robb,2.8,859652769,9.78086E+12,eng,144,10,1,05/05/1999,Plexus Publishing
20381,Shadow Twin,Gardner Dozois/George R.R. Martin/Daniel Abraham,3.57,1596060298,9.7816E+12,eng,114,65,7,06/01/2005,Subterranean Press
20394,Der Prophet,Kahlil Gibran,4.23,3530268038,9.78353E+12,ger,95,9,0,09/01/2001,Benziger
20398,Le prophète,Kahlil Gibran,4.23,2844541844,9.78284E+12,fre,172,1,0,10/08/2002,Dervy
20408,The Complete Stories of Robert Louis Stevenson: Strange Case of Dr. Jekyll and Mr. Hyde and Nineteen Other Tales,Robert Louis Stevenson/Barry Menikoff,4.13,375761357,9.78038E+12,eng,818,439,12,10/08/2002,Modern Library
20410,The Complete Short Stories Of Robert Louis Stevenson: With A Selection Of The Best Short Novels,Robert Louis Stevenson/Charles Neider,4.21,030680882X,9.78031E+12,eng,720,52,12,8/22/1998,Da Capo Press
20413,A Child's Garden of Verses,Robert Louis Stevenson/Tasha Tudor,4.3,689823827,9.78069E+12,eng,67,22227,431,02/01/1999,Simon & Schuster Books for Young Readers
20417,Have Space Suit—Will Travel,Robert A. Heinlein,3.9,1416505490,9.78142E+12,eng,276,23541,661,02/08/2005,Pocket Books
20420,Practicalities,Marguerite Duras/Barbara Bray,3.98,802133118,9.7808E+12,eng,143,226,19,10/22/1993,Grove Press
20422,Le ravissement de Lol V. Stein,Marguerite Duras,3.66,2070368106,9.78207E+12,fre,192,485,38,6/25/1976,Gallimard
20423,India Song,Marguerite Duras/Barbara Bray,3.57,802131352,9.7808E+12,eng,146,289,9,1/13/1994,Grove Press
20424,Clown,Quentin Blake,3.98,805059334,9.78081E+12,en-US,32,384,47,9/15/1998,Henry Holt and Co. (BYR)
20425,The Spiral Stair (Arabel and Mortimer  #6),Joan Aiken/Quentin Blake,4.33,1903015073,9.7819E+12,eng,62,35,5,08/01/2000,Barn Owl Books
20429,A Near Thing for Captain Najork (Captain Najork #2),Russell Hoban/Quentin Blake,4.18,1567923232,9.78157E+12,eng,32,76,11,10/01/2006,David R. Godine
20468,Cover Her Face (Adam Dalgliesh #1),P.D. James/Neville Teller/Robin Ellis/Sian Phillips/Hugh Grant,3.93,563528273,9.78056E+12,eng,2,17,4,05/07/2002,BBC Physical Audio
20498,Reptiles and Amphibians (Smithsonian Handbooks),Mark O'Shea/Tim Halliday/Jonathan Metcalf,4,789493934,9.78079E+12,eng,256,56,5,10/01/2002,DK Publishing (Dorling Kindersley)
20501,The Camera (Ansel Adams Photography  #1),Ansel Adams/Robert Hardy Baker,4.16,821221841,9.78082E+12,eng,195,5961,65,06/01/1995,Little  Brown and Company
20502,The Negative (Ansel Adams Photography  #2),Ansel Adams/Robert Hardy Baker,4.4,821221868,9.78082E+12,en-US,265,1384,32,06/01/1995,Little  Brown and Company
20505,The Print (Ansel Adams Photography  #3),Ansel Adams/Robert Hardy Baker,4.37,821221876,9.78082E+12,en-US,203,997,14,06/01/1995,Little  Brown and Company
20509,The Changing Status of the Artist,Emma Barker/Nick Webb/Kim W. Woods,3.93,300077424,9.7803E+12,eng,260,8,0,03/01/1999,Yale University Press
20517,Vicars of Christ: A History of the Popes,Charles A. Coulombe,3.94,806523700,9.78081E+12,en-US,492,31,2,07/01/2003,Citadel
20518,The Big Bing: Black Holes of Time Management  Gaseous Executive Bodies  Exploding Careers  and Other Theories on the Origins of the Business Universe,Stanley Bing,3.11,60529571,9.78006E+12,en-US,368,27,6,01/03/2006,Harper Business
20519,What Would Machiavelli Do?: The Ends Justify the Meanness,Stanley Bing,3.45,66620104,9.78007E+12,eng,176,464,58,7/28/2004,Harper Business
20525,William James: In the Maelstrom of American Modernism,Robert D. Richardson Jr.,4.25,618433252,9.78062E+12,eng,622,353,42,11/09/2006,Houghton Mifflin Harcourt
