bookID,title,authors,average_rating,isbn,isbn13,language_code,  num_pages,ratings_count,text_reviews_count,publication_date,publisher
29490,Candy,Mian Mian/Andrea Lingenfelter,3.32,316563560,9780320000000.0,en-US,279,1169,95,7/15/2003,Back Bay Books
29497,Demon Diary  Volume 01,Kara/Lee Chi-Hyong,3.95,1591821541,9781590000000.0,eng,192,4685,78,05/06/2003,TokyoPop
29498,Demon Diary  Volume 03,Kara/Lee Yun-Hee,4.07,1591821568,9781590000000.0,eng,187,1296,20,09/09/2003,TokyoPop
29499,Demon Diary  Volume 02,Kara/Jee-Hyung Lee,4.14,159182155X,9781590000000.0,eng,199,1672,26,07/08/2003,TokyoPop
29500,Demon Diary  Volume 04,Kara/Lee Yun-Hee,4.1,1591821576,9781590000000.0,eng,192,1182,15,11/04/2003,TokyoPop
29501,The End of Faith: Religion  Terror  and the Future of Reason,Sam Harris,3.93,393327655,9780390000000.0,en-US,348,29971,1480,9/17/2005,W. W. Norton  Company
29506,Prisoner's Dilemma: John von Neumann  Game Theory  and the Puzzle of the Bomb,William Poundstone/John von Neumann,3.91,038541580X,9780390000000.0,eng,320,1323,94,01/01/1993,Anchor
29512,Lost Continents,L. Sprague de Camp,3.65,486226689,9780490000000.0,en-US,363,108,10,06/01/1970,Dover Publications (NYC)
29514,The Lost Continent,Edgar Rice Burroughs,3.68,1600961509,9781600000000.0,eng,108,1235,59,7/30/2008,Waking Lion Press
29516,The Lost Continent: The Story of Atlantis,Charles John Cutcliffe Wright Hyne/Gary Hoppenstand/Harry Turtledove,3.78,803273320,9780800000000.0,eng,260,19,1,11/01/2002,Bison Books
29519,Conspiracy of Fools,Kurt Eichenwald,4.23,767911792,9780770000000.0,eng,784,4511,309,12/27/2005,Broadway Books
29526,The Death and Rebirth of the Seneca,Anthony F.C. Wallace,3.66,039471699X,9780390000000.0,eng,416,102,5,04/12/1972,Vintage
29529,Rebirth Volume 5,Kang-Woo Lee/Lauren Na,4.03,1591822203,9781590000000.0,eng,184,102,2,12/02/2003,TokyoPop
29533,Satan Burger,Carlton Mellick III,3.56,971357234,9780970000000.0,eng,230,1691,129,11/01/2001,Eraserhead Press
29534,The Strategy of Satan: How to Detect and Defeat Him,Warren W. Wiersbe,4.37,842366652,9780840000000.0,en-US,162,440,45,7/20/1979,Tyndale House Publishers
29537,The Black Stallion and Satan (The Black Stallion  #5),Walter Farley,4.12,679813462,9780680000000.0,eng,224,6280,53,4/14/1992,Yearling
